id,english_name,vietnamese_name,primary_category,secondary_category
TERM-000091,Quarter Ball,Tứ Bóng,Fundamentals,Aiming
TERM-000092,Three Quarter Ball,Ba Phần Tư,Fundamentals,Aiming
TERM-000093,Full Ball Hit,Đánh Toàn Bóng,Fundamentals,Aiming
TERM-000094,Numerator System,Hệ Thống Số Đếm,Fundamentals,Aiming
TERM-000095,Shirt Pattern,Hệ Thống Áo,Fundamentals,Aiming
TERM-000096,Pro One System,Hệ Pro One,Fundamentals,Aiming
TERM-000097,Parallel Line Aiming,Căn Đường Song Song,Fundamentals,Aiming
TERM-000098, CTE Aiming System,Hệ CTE,Fundamentals,Aiming
TERM-000099,Spoken Method,Phương Pháp Nói,Fundamentals,Aiming
TERM-000100,10 and 20 Rule,Quy Tắc 10 và 20,Fundamentals,Aiming
TERM-000101,Angle of Incidence,Góc Tới,Pool Shots,Cut Shots
TERM-000102,Angle of Reflection,Góc Phản Xạ,Pool Shots,Cut Shots
TERM-000103,Deflection,Độ Lệch,Pool Shots,Spin Shots
TERM-000104,Squirt,Xiên,Pool Shots,Spin Shots
TERM-000105,Swerve,Độ Vênh,Pool Shots,Spin Shots
TERM-000106,Throw,Quăng,Pool Shots,Spin Shots
TERM-000107,Spin Transfer,Truyền Xoáy,Pool Shots,Spin Shots
TERM-000108,English Left,Xoáy Trái,Pool Shots,Spin Shots
TERM-000109,English Right,Xoáy Phải,Pool Shots,Spin Shots
TERM-000110,High English,Xoáy Cao,Pool Shots,Spin Shots
TERM-000111,Low English,Xoáy Thấp,Pool Shots,Spin Shots
TERM-000112,Center Spin,Xoáy Giữa,Pool Shots,Spin Shots
TERM-000113,Running English,Xoáy Chạy,Pool Shots,Spin Shots
TERM-000114,Reverse English,Xoáy Ngược,Pool Shots,Spin Shots
TERM-000115,Side Spin,Xoáy Ngang,Pool Shots,Spin Shots
TERM-000116,Top Left,Xoáy Trên Trái,Pool Shots,Spin Shots
TERM-000117,Top Right,Xoáy Trên Phải,Pool Shots,Spin Shots
TERM-000118,Bottom Left,Xoáy Dưới Trái,Pool Shots,Spin Shots
TERM-000119,Bottom Right,Xoáy Dưới Phải,Pool Shots,Spin Shots
TERM-000120,Inside Spin,Xoáy Trong,Pool Shots,Spin Shots
TERM-000121,Outside Spin,Xoáy Ngoài,Pool Shots,Spin Shots
TERM-000122,Stun Shot,Đánh Stun,Pool Shots,Basic Shots
TERM-000123,Stun Roll,Cuộn Stun,Pool Shots,Basic Shots
TERM-000124,Running Ball,Bóng Chạy,Pool Shots,Basic Shots
TERM-000125,Pocket Speed,Tốc Độ Bỏ Túi,Pool Shots,Basic Shots
TERM-000126,Natural Roll,Lăn Tự Nhiên,Pool Shots,Basic Shots
TERM-000127,Stop Shot Dead,Đường Dừng Chết,Pool Shots,Basic Shots
TERM-000128,Screw Shot,Đường Vặn,Pool Shots,Basic Shots
TERM-000129,Pull Shot,Đường Kéo,Pool Shots,Basic Shots
TERM-000130,Force Follow,Lực Đi Theo,Pool Shots,Advanced Shots
TERM-000131,Force Draw,Lực Cắt Đít,Pool Shots,Advanced Shots
TERM-000132,Power Draw,Đường Cắt Đít Lực,Pool Shots,Advanced Shots
TERM-000133,Power Follow,Đường Đi Theo Lực,Pool Shots,Advanced Shots
TERM-000134,Power Draw Shot,Đường Cắt Đít Mạnh,Pool Shots,Advanced Shots
TERM-000135,Dead Ball,Bóng Chết,Pool Shots,Basic Shots
TERM-000136,Live Ball,Bóng Sống,Pool Shots,Basic Shots
TERM-000137,Hanging Ball,Bóng Treo,Pool Shots,Basic Shots
TERM-000138,Float Ball,Bóng Nổi,Pool Shots,Basic Shots
TERM-000139,Dead Pocket,Túi Chết,Pool Shots,Basic Shots
TERM-000140,Alive Pocket,Túi Sống,Pool Shots,Basic Shots
TERM-000141,Jaw Width,Chiều Rộng Miệng Túi,Fundamentals,Equipment
TERM-000142,Pocket Spread,Khoảng Cách Túi,Fundamentals,Equipment
TERM-000143,Table Size,Kích Thước Bàn,Fundamentals,Equipment
TERM-000144,7 Foot Table,Bàn 7 Feet,Fundamentals,Equipment
TERM-000145,8 Foot Table,Bàn 8 Feet,Fundamentals,Equipment
TERM-000146,9 Foot Table,Bàn 9 Feet,Fundamentals,Equipment
TERM-000147,12 Foot Table,Bàn 12 Feet,Fundamentals,Equipment
TERM-000148,Bar Table,Bàn Bar,Fundamentals,Equipment
TERM-000149,Tournament Table,Bàn Thi Đấu,Fundamentals,Equipment
TERM-000150,Home Table,Bàn Gia Đình,Fundamentals,Equipment
TERM-000151,Speed Ball,Bóng Tốc Độ,Pool Shots,Advanced Shots
TERM-000152,Speed Shot,Đường Tốc Độ,Pool Shots,Advanced Shots
TERM-000153,Must Ball,Bắt Buộc,Pool Shots,Advanced Shots
TERM-000154,Carom,Carom,Pool Shots,Advanced Shots
TERM-000155,Three Rail Carom,Carom Ba Băng,Pool Shots,Advanced Shots
TERM-000156,Two Rail Carom,Carom Hai Băng,Pool Shots,Advanced Shots
TERM-000157,One Rail Carom,Carom Một Băng,Pool Shots,Advanced Shots
TERM-000158,English Carom,Carom Xoáy,Pool Shots,Advanced Shots
TERM-000159,Natural Carom,Carom Tự Nhiên,Pool Shots,Advanced Shots
TERM-000160,Kick Carom,Carom Đá,Pool Shots,Advanced Shots
TERM-000161,Cushion Ball,Bóng Băng,Pool Shots,Cut Shots
TERM-000162,Cushion First,Chạm Băng Trước,Pool Shots,Cut Shots
TERM-000163,Object Ball First,Chạm Bóng Trước,Pool Shots,Cut Shots
TERM-000164,Double Kiss,Hôn Đúp,Pool Shots,Cut Shots
TERM-000165,Kiss Shot,Đường Hôn,Pool Shots,Cut Shots
TERM-000166,Billiard Shot,Đường Billiard,Pool Shots,Advanced Shots
TERM-000167,In-Off,Đánh Vào Ra,Pool Shots,Advanced Shots
TERM-000168,In-Off Shot,Đường Đánh Vào Ra,Pool Shots,Advanced Shots
TERM-000169,Plant Shot,Đường Trồng,Pool Shots,Advanced Shots
TERM-000170,Plant,Bố Trí,Pool Shots,Advanced Shots
TERM-000171,Split Shot,Đường Tách Bóng,Pool Shots,Advanced Shots
TERM-000172,Combination Shot,Đường Kết Hợp,Pool Shots,Advanced Shots
TERM-000173,Combination,Đánh Kết Hợp,Pool Shots,Advanced Shots
TERM-000174,Double,Ba Bóng,Pool Shots,Advanced Shots
TERM-000175,Treble,Bốn Bóng,Pool Shots,Advanced Shots
TERM-000176,Potted,Bỏ Túi,Pool Shots,Basic Shots
TERM-000177,Pocketed,Bỏ Túi,Pool Shots,Basic Shots
TERM-000178,Made Ball,Bóng Vào,Pool Shots,Basic Shots
TERM-000179,Miss,Không Đánh Trúng,Pool Shots,Basic Shots
TERM-000180,Foul Ball,Bóng Lỗi,Safety Play,Fouls
TERM-000181,Ball in Hand,Bóng Trên Tay,Safety Play,Defensive Shots
TERM-000182,Ball in Hand Behind Head String,Bóng Trên Tay Sau Vạch,Fundamentals,Equipment
TERM-000183,Behind the Head String,Sau Vạch Đầu,Fundamentals,Equipment
TERM-000184,In Hand,Trên Tay,Safety Play,Defensive Shots
TERM-000185,In Hand Anywhere,Trên Tay Bất Kỳ,Fundamentals,Equipment
TERM-000186,Total Ball in Hand,Toàn Bộ Bóng Trên Tay,Fundamentals,Equipment
TERM-000187,Partial Ball in Hand,Một Phần Bóng Trên Tay,Fundamentals,Equipment
TERM-000188,Legal Shot,Đánh Hợp Lệ,Safety Play,Fouls
TERM-000189,Legal Break,Phá Bàn Hợp Lệ,Pool Shots,Advanced Shots
TERM-000190,Illegal Break,Phá Bàn Bất Hợp Lệ,Pool Shots,Advanced Shots
TERM-000191,Jumped Ball,Bóng Nhảy,Safety Play,Fouls
TERM-000192,Jump Ball,Bóng Nhảy,Pool Shots,Spin Shots
TERM-000193,Pushed Ball,Bóng Bị Đẩy,Safety Play,Fouls
TERM-000194,Double Hit Ball,Bóng Chạm Đúp,Safety Play,Fouls
TERM-000195,Simultaneous Hit,Chạm Đồng Thời,Safety Play,Fouls
TERM-000196,Wrong Ball First,Sai Bóng Trước,Safety Play,Fouls
TERM-000197,No Rail Contact,Không Chạm Băng,Safety Play,Fouls
TERM-000198,No Cushion Contact,Không Chạm Băng,Safety Play,Fouls
TERM-000199,No Pocket,Không Vào Túi,Pool Shots,Basic Shots
TERM-000200,No Ball Pocketed,Không Bóng Vào Túi,Pool Shots,Basic Shots
TERM-000201,Pot,Sale,Pool Shots,Basic Shots
TERM-000202,Potting,Đánh Vào Túi,Pool Shots,Basic Shots
TERM-000203,Break and Enter,Phá Vào,Pool Shots,Advanced Shots
TERM-000204,Break and Run,Phá và Chạy,Pool Shots,Advanced Shots
TERM-000205,Clearance,Thanh Toán,Pool Shots,Advanced Shots
TERM-000206,Clear the Table,Thanh Toán Bàn,Pool Shots,Advanced Shots
TERM-000207,Table Length,Chiều Dài Bàn,Pool Shots,Advanced Shots
TERM-000208,Distance Shot,Đường Xa,Pool Shots,Advanced Shots
TERM-000209,Long Shot,Đường Dài,Pool Shots,Advanced Shots
TERM-000210,Long Pot,Đường Dài Vào Túi,Pool Shots,Advanced Shots
TERM-000211,Thin Green,Verde Mỏng,Pool Shots,Cut Shots
TERM-000212,Thin,Mỏng,Pool Shots,Cut Shots
TERM-000213,Fine Cut,Cắt Mịn,Pool Shots,Cut Shots
TERM-000214,Thick Cut,Cắt Dày,Pool Shots,Cut Shots
TERM-000215,Heavy Cut,Cắt Nặng,Pool Shots,Cut Shots
TERM-000216,Half Ball Cut,Cắt Nửa Bóng,Pool Shots,Cut Shots
TERM-000217,Quarter Ball Cut,Cắt Tứ Bóng,Pool Shots,Cut Shots
TERM-000218,Three Quarter Cut,Cắt Ba Phần Tư,Pool Shots,Cut Shots
TERM-000219,Numerator,Hệ Thống Số Đếm,Fundamentals,Aiming
TERM-000220,Shirt,Hệ Áo,Fundamentals,Aiming
TERM-000221,Pro One,Hệ Pro One,Fundamentals,Aiming
TERM-000222,Spoken Method,Hệ Nói,Fundamentals,Aiming
TERM-000223,CTE,Hệ CTE,Fundamentals,Aiming
TERM-000224,Box,Hệ Thống Hộp,Fundamentals,Aiming
TERM-000225,OB,Aiming Ổ,Bóng Mục Tiêu,Fundamentals,Aiming
TERM-000226,Ghost Ball Alignment,Căn Bóng Ảo,Fundamentals,Aiming
TERM-000227,Aiming Point,Điểm Ngắm,Fundamentals,Aiming
TERM-000228,Aiming Spot,Điểm Ngắm,Fundamentals,Aiming
TERM-000229,Face Alignment,Căn Mặt,Fundamentals,Aiming
TERM-000230,Cue Alignment,Căn Cơ,Fundamentals,Aiming
TERM-000231,Bridge Alignment,Căn Cầu,Fundamentals,Aiming
TERM-000232,Stroke Plane,Mặt Phẳng Đánh,Fundamentals,Aiming
TERM-000233,Plane Line,Đường Phẳng,Fundamentals,Aiming
TERM-000234,Drop Point,Điểm Rơi,Pool Shots,Advanced Shots
TERM-000235,Natural Angle,Góc Tự Nhiên,Pool Shots,Cut Shots
TERM-000236,Natural Obeya,Góc Tự Nhiên,Pool Shots,Cut Shots
TERM-000237,Proportional System,Hệ Tỷ Lệ,Fundamentals,Aiming
TERM-000238, Diamond System,Hệ Kim Cương,Fundamentals,Aiming
TERM-000239,Killer System,Hệ Sát Thủ,Fundamentals,Aiming
TERM-000240,Visa System,Hệ Visa,Fundamentals,Aiming
TERM-000241,CC,CC,Pool Shots,Spin Shots
TERM-000242,Cue Squirt,Xiên Cơ,Pool Shots,Spin Shots
TERM-000243,CB Squirt,Xiên Bóng Cơ,Pool Shots,Spin Shots
TERM-000244,English Effect,Hiệu Ứng Xoáy,Pool Shots,Spin Shots
TERM-000245,Draw Effect,Hiệu Ứng Cắt Đít,Pool Shots,Spin Shots
TERM-000246,Follow Effect,Hiệu Ứng Đi Theo,Pool Shots,Spin Shots
TERM-000247,Topspin Effect,Hiệu Ứng Xoáy Tới,Pool Shots,Spin Shots
TERM-000248,Backspin Effect,Hiệu Ứng Lực Ngược,Pool Shots,Spin Shots
TERM-000249,Spin-Induced Deflection,Độ Lệch Do Xoáy,Pool Shots,Spin Shots
TERM-000250,Throw Effect,Hiệu Ứng Quăng,Pool Shots,Spin Shots
TERM-000251,Object Ball Deflection,Độ Lệch Bóng Mục Tiêu,Pool Shots,Spin Shots
TERM-000252,Contact-Induced Throw,Ném Do Chạm,Pool Shots,Spin Shots
TERM-000253,Cut-Induced Throw,Ném Do Cắt,Pool Shots,Spin Shots
TERM-000254,Post-Impact English,Xoáy Sau Va Chạm,Pool Shots,Spin Shots
TERM-000255,Spin Transfer Effect,Hiệu Ứng Truyền Xoáy,Pool Shots,Spin Shots
TERM-000256,Reverse Spin,Ngược Xoáy,Pool Shots,Spin Shots
TERM-000257,Spin Speed Ratio,Tỷ Lệ Xoáy Tốc Độ,Pool Shots,Spin Shots
TERM-000258,Spin Ratio,Tỷ Lệ Xoáy,Pool Shots,Spin Shots
TERM-000259,English Percentage,Phần Trăm Xoáy,Pool Shots,Spin Shots
TERM-000260,Power Control,Kiểm Soát Lực,Pool Shots,Advanced Shots
TERM-000261,Pace,Kiểm Soát Nhịp,Pool Shots,Advanced Shots
TERM-000262,Speed Control,Kiểm Soát Tốc Độ,Pool Shots,Advanced Shots
TERM-000263,Fine Control,Kiểm Soát Mịn,Pool Shots,Advanced Shots
TERM-000264,Control Play,Chơi Kiểm Soát,Pool Shots,Advanced Shots
TERM-000265,Positional Play,Chơi Vị Trí,Pool Shots,Advanced Shots
TERM-000266,Position Shot,Đường Vị Trí,Pool Shots,Advanced Shots
TERM-000267,Shape,Bóng Xếp,Pool Shots,Advanced Shots
TERM-000268,Good Shape,Vị Trí Tốt,Pool Shots,Advanced Shots
TERM-000269,Bad Shape,Vị Trí Xấu,Pool Shots,Advanced Shots
TERM-000270,Easy Shape,Vị Trí Dễ,Pool Shots,Advanced Shots
TERM-000271,Hard Shape,Vị Trí Khó,Pool Shots,Advanced Shots
TERM-000272,Get Shape,Lấy Vị Trí,Pool Shots,Advanced Shots
TERM-000273,Play Safe,Chơi An Toàn,Safety Play,Defensive Shots
TERM-000274,Safety Shot,Đường An Toàn,Safety Play,Defensive Shots
TERM-000275,Defense,Phòng Thủ,Safety Play,Defensive Shots
TERM-000276,Offensive Safety,Tấn Công An Toàn,Safety Play,Defensive Shots
TERM-000277,Positive Safety,An Toàn Tích Cực,Safety Play,Defensive Shots
TERM-000278,Negative Safety,An Toàn Tiêu Cực,Safety Play,Defensive Shots
TERM-000279,Forced Safety,Cưỡng Bức An Toàn,Safety Play,Defensive Shots
TERM-000280,Natural Safety,Natural An Toàn,Safety Play,Defensive Shots
TERM-000281,Jump Safety,Nhảy An Toàn,Safety Play,Defensive Shots
TERM-000282,Ping Safety,Bật An Toàn,Safety Play,Defensive Shots
TERM-000283,Kick Safety,Đá An Toàn,Safety Play,Defensive Shots
TERM-000284,Legal Safety,An Toàn Hợp Lệ,Safety Play,Defensive Shots
TERM-000285,Illegal Safety,An Toàn Bất Hợp Lệ,Safety Play,Defensive Shots
TERM-000286,Timeout Safety,An Toàn Hết Giờ,Safety Play,Defensive Shots
TERM-000287,Time Warning,Cảnh Báo Thời Gian,Fundamentals,Terminology
TERM-000288,Shoot Out,Shoot Out,Competition,Match Play
TERM-000289,Shootout,Đấu Súng,Competition,Match Play
TERM-000290,Match,Trận Đấu,Competition,Match Play
TERM-000291,Game,Ván Đấu,Competition,Match Play
TERM-000292,Frame,Ván,Competition,Match Play
TERM-000293,Innings,Hiệp Đấu,Competition,Match Play
TERM-000294,Race,Đua,Competition,Match Play
TERM-000295,Points Race,Đua Điểm,Competition,Match Play
TERM-000296,Single Elimination,Đấu Loại Trực Tiếp,Competition,Tournament Rules
TERM-000297,Double Elimination,Đấu Loại Kép,Competition,Tournament Rules
TERM-000298,Round Robin,Vòng Tròn,Competition,Tournament Rules
TERM-000299,Swiss System,Hệ Thụy Sĩ,Competition,Tournament Rules
TERM-000300,Knockout,Hạ Gục,Competition,Tournament Rules
TERM-000301,Final,Chung Kết,Competition,Tournament Rules
TERM-000302,Semi Final,Bán Kết,Competition,Tournament Rules
TERM-000303,Quarter Final,Tứ Kết,Competition,Tournament Rules
TERM-000304,Last 16,Vòng 16,Competition,Tournament Rules
TERM-000305,Last 32,Vòng 32,Competition,Tournament Rules
TERM-000306,Last 64,Vòng 64,Competition,Tournament Rules
TERM-000307,Last 128,Vòng 128,Competition,Tournament Rules
TERM-000308,Qualifying,Vòng Loại,Competition,Tournament Rules
TERM-000309,Qualifiers,Vòng Loại,Competition,Tournament Rules
TERM-000310,Wildcard,Thẻ Đặc Cách,Competition,Tournament Rules
TERM-000311,Bye,Vòng Nghỉ,Competition,Tournament Rules
TERM-000312,Seed,Hạt Giống,Competition,Tournament Rules
TERM-000313,Seeding,Xếp Hạt Giống,Competition,Tournament Rules
TERM-000314,Ranking,Xếp Hạng,Competition,Tournament Rules
TERM-000315,World Ranking,Xếp Hạng Thế Giới,Competition,Tournament Rules
TERM-000316,National Ranking,Xếp Hạng Quốc Gia,Competition,Tournament Rules
TERM-000317,Handicap,Chấp,Competition,Handicaps
TERM-000318,Equalizing,San Bằng,Competition,Handicaps
TERM-000319,Spotting,Dots,Competition,Handicaps
TERM-000320,Spotting Balls,Điểm Dots,Competition,Handicaps
TERM-000321,Equal Start,Khởi Đầu Bằng Nhau,Competition,Handicaps
TERM-000322,Nominal Score,Điểm Danh Nghĩa,Competition,Handicaps
TERM-000323,Actual Score,Điểm Thực,Competition,Handicaps
TERM-000324,Win,Thắng,Competition,Match Play
TERM-000325,Loss,Thua,Competition,Match Play
TERM-000326,Draw,Hòa,Competition,Match Play
TERM-000327,Walkover,Thắng Walkover,Competition,Tournament Rules
TERM-000328,Default,Thua Mặc Định,Competition,Tournament Rules
TERM-000329,Forfeit,Đình Chỉ,Competition,Tournament Rules
TERM-000330,Retirement,Rút Lui,Competition,Tournament Rules
TERM-000331,Disqualification,Loại,Competition,Tournament Rules
TERM-000332,Scratch,Viết Tay,Fundamentals,Terminology
TERM-000333,Ball Return,Khách Hàng Trả Bóng,Fundamentals,Equipment
TERM-000334,Automatic Ball Return,Khách Hàng Tự Động,Fundamentals,Equipment
TERM-000335,Ball Rack,Khung Xếp Bóng,Fundamentals,Equipment
TERM-000336,Plastic Rack,Khung Nhựa,Fundamentals,Equipment
TERM-000337,Wooden Rack,Khung Gỗ,Fundamentals,Equipment
TERM-000338,Carbon Fiber Cue,Cơ Carbon,Fundamentals,Equipment
TERM-000339,Graphite Cue,Cơ Graphite,Fundamentals,Equipment
TERM-000340,Two-Piece Cue,Cơ Hai Khúc,Fundamentals,Equipment
TERM-000341,One-Piece Cue,Cơ Một Khúc,Fundamentals,Equipment
TERM-000342,Split Joint,Nối Tách,Fundamentals,Equipment
TERM-000343,Quick Release Joint,Nối Nhanh,Fundamentals,Equipment
TERM-000344,Uni-Loc Joint,Nối Uni-Loc,Fundamentals,Equipment
TERM-000345,Radial Pin,Nối Radial,Fundamentals,Equipment
TERM-000346,Pin Joint,Nối Chốt,Fundamentals,Equipment
TERM-000347,Sleeve,Bọc,Fundamentals,Equipment
TERM-000348,Butt,Đuôi Cơ,Fundamentals,Equipment
TERM-000349,Cue Butt,Đuôi Cơ,Fundamentals,Equipment
TERM-000350,Forearm,Thân Cơ,Fundamentals,Equipment
TERM-000351,Cue Shaft,Thân Cơ,Fundamentals,Equipment
TERM-000352,Shaft,Thân Cơ,Fundamentals,Equipment
TERM-000353,Joint,Vị Trí Nối,Fundamentals,Equipment
TERM-000354,Joint Pin,Chốt Nối,Fundamentals,Equipment
TERM-000355,Tip,Đầu Cơ,Fundamentals,Equipment
TERM-000356,Ferrule,Ống Trượt,Fundamentals,Equipment
TERM-000357,Collar,Ống Lót,Fundamentals,Equipment
TERM-000358,Weight,Trọng Lượng,Fundamentals,Equipment
TERM-000359,Cue Weight,Trọng Lượng Cơ,Fundamentals,Equipment
TERM-000360,Tip Hardness,Độ Cứng Đầu,Fundamentals,Equipment
TERM-000361,Soft Tip,Đầu Mềm,Fundamentals,Equipment
TERM-000362,Medium Tip,Đầu Trung Bình,Fundamentals,Equipment
TERM-000363,Hard Tip,Đầu Cứng,Fundamentals,Equipment
TERM-000364,Tip Tool,Dụng Cụ Đầu,Fundamentals,Equipment
TERM-000365,Scuffer,Dụng Cụ Mài,Fundamentals,Equipment
TERM-000366,Shaper,Dụng Cụ Tạo Hình,Fundamentals,Equipment
TERM-000367,Burnisher,Dụng Cụ Đánh Bóng,Fundamentals,Equipment
TERM-000368,Chalk Cube,Khối Phấn,Fundamentals,Equipment
TERM-000369,Chalk Box,Hộp Phấn,Fundamentals,Equipment
TERM-000370,Chalk Holder,Giá Phấn,Fundamentals,Equipment
TERM-000371,Table Brush,Bàn Chải,Fundamentals,Equipment
TERM-000372,Cue Rack,Giá Cơ,Fundamentals,Equipment
TERM-000373,Wall Rack,Giá Tường,Fundamentals,Equipment
TERM-000374,Floor Rack,Giá Đứng,Fundamentals,Equipment
TERM-000375,Table Cover,Nắp Bàn,Fundamentals,Equipment
TERM-000376,Cue Cover,Áo Cơ,Fundamentals,Equipment
TERM-000377,Cue Case,Hộp Cơ,Fundamentals,Equipment
TERM-000378,Hard Case,Hộp Cứng,Fundamentals,Equipment
TERM-000379,Soft Case,Hộp Mềm,Fundamentals,Equipment
TERM-000380,Tubular Case,Hộp Ống,Fundamentals,Equipment
TERM-000381,Leather Case,Hộp Da,Fundamentals,Equipment
TERM-000382,Extension,Thêm Cơ,Fundamentals,Equipment
