id,parent_id,name_en,name_vi,slug,description,display_order,status
CAT004-05,CAT004,Match Strategy,Chiến thuật thi đấu,strategy-match,"Long-game strategy, pressure management, and tournament tactics.",5,active
CAT005,,Rules & Scoring,Luật chơi & Chấm điểm,rules-scoring,"Official game rules, scoring systems, and tournament regulations.",5,active
CAT005-01,CAT005,WPA Rules,Luật WPA,rules-wpa,"World Pool-Billiard Association official rules and interpretations.",1,active
CAT005-01-01,CAT005-01,8-Ball Rules,Luật 8-balls,rules-wpa-8ball,"Official rules for playing 8-ball pocket billiards.",1,active
CAT005-01-02,CAT005-01,9-Ball Rules,Luật 9-balls,rules-wpa-9ball,"Official rules for playing 9-ball pocket billiards.",2,active
CAT005-01-03,CAT005-01,10-Ball Rules,Luật 10-balls,rules-wpa-10ball,"Official rules for playing 10-ball pocket billiards.",3,active
CAT005-01-04,CAT005-01,Straight Pool Rules,Luật Straight Pool,rules-wpa-straight-pool,"Official rules for 14.1 continuous pool (straight pool).",4,active
CAT005-02,CAT005,Fouls,Lỗi,rules-fouls,"Types of fouls, penalties, and foul procedures.",2,active
CAT005-02-01,CAT005-02,Standard Fouls,Lỗi tiêu chuẩn,rules-fouls-standard,"Common fouls including scratch, wrong ball pocketed, and fouls by contact.",1,active
CAT005-02-02,CAT005-02,Equipment Fouls,Lỗi dụng cụ,rules-fouls-equipment,"Fouls related to cue ball, object balls, and table contact.",2,active
CAT005-03,CAT005,Scoring,Chấm điểm,rules-scoring,"Point systems, scoring procedures, and match race formats.",3,active
CAT006,,Competition,Thi đấu,competition,"Tournament structures, match formats, and competitive play guidelines.",6,active
CAT006-01,CAT006,Tournament Formats,Định dạng giải đấu,competition-formats,"Different tournament structures including single elimination, round robin, and double elimination.",1,active
CAT006-02,CAT006,Match Formats,Định dạng trận đấu,competition-match-formats,"Race formats, lag procedures, and match play structures.",2,active
CAT006-03,CAT006,Rankings,Bảng xếp hạng,competition-rankings,"Player rankings, points systems, and professional standings.",3,active
CAT006-04,CAT006,Major Events,Giải đấu lớn,competition-major-events,"World championships, professional tours, and major tournaments.",4,active
CAT007,,Training & Drills,Huấn luyện & Bài tập,training-drills,"Practice routines, skill-building exercises, and training methodologies.",7,active
CAT007-01,CAT007,Practice Routines,Lịch tập luyện,training-routines,"Structured practice schedules and warm-up routines.",1,active
CAT007-02,CAT007,Skill Drills,Bài tập kỹ năng,training-drills-skill,"Specific drills for developing accuracy, position play, and shot-making.",2,active
CAT007-03,CAT007,Training Programs,Chương trình huấn luyện,training-programs,"Structured training programs for beginners to advanced players.",3,active
CAT008,,Mental Game,Tâm lý thi đấu,mental-game,"Psychology, focus techniques, and mental preparation for billiards.",8,active
CAT008-01,CAT008,Focus & Concentration,Tập trung,mental-focus,"Techniques for maintaining concentration during play.",1,active
CAT008-02,CAT008,Pressure Management,Quản lý áp lực,mental-pressure,"Handling pressure situations and high-stakes moments.",2,active
CAT008-03,CAT008,Pre-Shot Routine,Thói quen trước cú đánh,mental-routine,"Developing and maintaining a consistent pre-shot routine.",3,active
CAT008-04,CAT008,Confidence Building,Xây dựng tự tin,mental-confidence,"Building and maintaining confidence in shot-making abilities.",4,active
CAT009,,History & Culture,Lịch sử & Văn hóa,history-culture,"Origins of billiards, historical evolution, and cultural significance.",9,active
CAT009-01,CAT009,Origins,Nguồn gốc,history-origins,"The historical origins of billiards from lawn games to tables.",1,active
CAT009-02,CAT009,Legends & Champions,Huyền thoại & Vô địch,history-legends,"Historical and modern billiards legends and their contributions.",2,active
CAT009-03,CAT009,Cultural Impact,Ảnh hưởng văn hóa,history-cultural-impact,"Billiards in media, art, and popular culture.",3,active
CAT010,,Maintenance & Repair,Bảo trì & Sửa chữa,maintenance-repair,"Equipment care, maintenance procedures, and repair techniques.",10,active
CAT010-01,CAT010,Cue Maintenance,Bảo dưỡng gậy,maintenance-cues,"Care and maintenance of pool and snooker cues.",1,active
CAT010-02,CAT010,Table Maintenance,Bảo dưỡng bàn,maintenance-tables,"Felt care, cushion maintenance, and table adjustments.",2,active
CAT010-03,CAT010,Ball Restoration,Phục hồi bóng,maintenance-balls,"Ball cleaning, polishing, and restoration techniques.",3,active
CAT011,,Professional Players,Cầu thủ chuyên nghiệp,professional-players,"Profiles, achievements, and playing styles of professional billiards players.",11,active
CAT011-01,CAT011,World Champions,Vô địch thế giới,professional-world-champions,"World championship winners and their accomplishments.",1,active
CAT011-02,CAT011,Top Professionals,Cầu thủ hàng đầu,professional-top,"Currently active top-ranked professional players.",2,active
CAT011-03,CAT011,Coaches,Huấn luyện viên,professional-coaches,"Recognized billiards coaches and instructors.",3,active
CAT012,,Organizations,Tổ chức,organizations,"Governing bodies, associations, and billiards organizations worldwide.",12,active
CAT012-01,CAT012,Governing Bodies,Cơ quan quản lý,organizations-governing,"WPA, WPBSA, and other international governing bodies.",1,active
CAT012-02,CAT012,Professional Tours,Giải đấu chuyên nghiệp,organizations-tours,"Professional tour organizations and their events.",2,active
CAT012-03,CAT012,Local Associations,Hiệp hội địa phương,organizations-local,"Regional and local billiards associations.",3,active
CAT013,,Venues & Halls,Sân chơi & CLB,venues-halls,"Pool halls, billiards clubs, and playing venue information.",13,active
CAT013-01,CAT013,Pool Halls,Phòng billiard,venues-pool-halls,"Commercial pool halls and their features.",1,active
CAT013-02,CAT013,Home Setup,Thiết lập tại nhà,venues-home,"Setting up a home billiards room.",2,active
CAT013-03,CAT013,Club & Tournament Venues,Địa điểm CLB & Giải đấu,venues-clubs,"Clubs and tournament-ready venues.",3,active
CAT014,,Media & Resources,Phương tiện & Tài nguyên,media-resources,"Books, videos, websites, and other learning resources.",14,active
CAT014-01,CAT014,Books,Sách,media-books,"Recommended books on billiards technique and history.",1,active
CAT014-02,CAT014,Videos,Video,media-videos,"Instructional and entertainment billiards videos.",2,active
CAT014-03,CAT014,Websites,Website,media-websites,"Online resources, forums, and billiards websites.",3,active
CAT015,,Specialized Games,Các trò chơi chuyên biệt,specialized-games,"Snooker, carom, and other billiards variants beyond pool.",15,active
CAT015-01,CAT015,Snooker,Snooker,specialized-snooker,"Snooker-specific terminology and techniques.",1,active
CAT015-02,CAT015,Carom,Carom,specialized-carom,"Three-cushion and straight rail carom billiards.",2,active
CAT015-03,CAT015,Trick Shots,Cú đánh trickshot,specialized-trick-shots,"Artistic pool, fancy shots, and exhibition play.",3,active
CAT015-04,CAT015,Regional Variants,Biến thể khu vực,specialized-regional,"Regional billiards game variations around the world.",4,active
CAT016,,Physics & Science,Vật lý & Khoa học,physics-science,"The scientific principles behind billiards mechanics and ball physics.",16,active
CAT016-01,CAT016,Ball Dynamics,Động lực học bóng,physics-ball-dynamics,"How balls move, collide, and transfer energy.",1,active
CAT016-02,CAT016,Spin Physics,Vật lý xoáy,physics-spin,"The physics of english, topspin, and backspin.",2,active
CAT016-03,CAT016,Table Physics,Vật lý bàn,physics-table,"Cushion behavior, friction, and table surface physics.",3,active
CAT017,,Fashion & Lifestyle,Thời trang & Cuộc sống,fashion-lifestyle,"Billiards apparel, accessories fashion, and the pool hall lifestyle.",17,active
CAT017-01,CAT017,Apparel,Trang phục,fashion-apparel,"Billiards clothing including pool shirts, pants, and shoes.",1,active
CAT017-02,CAT017,Cue Cases,Túi đựng gậy,fashion-cue-cases,"Cue cases, bags, and transportation accessories.",2,active
CAT017-03,CAT017,Pool Hall Culture,Văn hóa phòng billiard,fashion-pool-culture,"The social culture and etiquette of pool halls.",3,active
CAT018,,Table Setup,Thiết lập bàn,table-setup,"Proper table preparation including leveling, lighting, and environmental conditions.",18,active
CAT018-01,CAT018,Lighting,Chiếu sáng,table-setup-lighting,"Proper table lighting for optimal visibility and play.",1,active
CAT018-02,CAT018,Room Conditions,Điều kiện phòng,table-setup-room,"Temperature, humidity, and environmental factors affecting play.",2,active
CAT019,,Glossary,Từ điển,glossary,"Comprehensive alphabetical glossary of billiards terminology.",19,active
CAT019-01,CAT019,A-F,A-F,glossary-a-f,"Terms beginning with letters A through F.",1,active
CAT019-02,CAT019,G-L,G-L,glossary-g-l,"Terms beginning with letters G through L.",2,active
CAT019-03,CAT019,M-R,M-R,glossary-m-r,"Terms beginning with letters M through R.",3,active
CAT019-04,CAT019,S-Z,S-Z,glossary-s-z,"Terms beginning with letters S through Z.",4,active
CAT020,,Errors & Corrections,Lỗi & Sửa chữa,errors-corrections,"Common mistakes, mislabeled terms, and correction history.",20,active
CAT020-01,CAT020,Common Errors,Lỗi phổ biến,errors-common,"Frequently encountered terminology errors and misconceptions.",1,active
CAT020-02,CAT020,Regional Variations,Biến thể vùng miền,errors-regional,"Regional naming differences and terminology variations.",2,active
